Brand,Outdoor Model,Coil/Air Handler,Furnace,AHRI Number,Size,SEER2,HSPF2,Finance,25C Tax Credit
BRYANT,CVAVA6024XMA*,CVAVA6024XMA*,CVAVA6024XMA*,217588550,57000,14.3,,,No
BRYANT,CVAVA6024XMA*,CVAVA6024XMA*,CVAVA6024XMA*,217588549,57000,14.3,,,No
BRYANT,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588525,57500,14.3,,,No
BRYANT,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588524,57500,14.3,,,No
BRYANT,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588523,57500,14.3,,,No
BRYANT,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588499,57500,14.5,,,No
BRYANT,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588498,57500,14.5,,,No
BRYANT,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588497,57500,14.5,,,No
BRYANT,CSAH*6012AM*,CSAH*6012AM*,CSAH*6012AM*,217588473,58000,14.5,,,No
BRYANT,CSAH*6012AM*,CSAH*6012AM*,CSAH*6012AM*,217588472,58000,14.5,,,No
BRYANT,CSAH*6012AM*,CSAH*6012AM*,CSAH*6012AM*,217588471,58000,14.5,,,No
BRYANT,CAA**6124AM*,CAA**6124AM*,CAA**6124AM*,217588447,59000,14.5,,,No
BRYANT,CAA**6124AM*,CAA**6124AM*,CAA**6124AM*,217588446,59000,14.5,,,No
BRYANT,CAA**6124AM*,CAA**6124AM*,CAA**6124AM*,217588445,59000,14.5,,,No
BRYANT,CVAVA6124XMA*,CVAVA6124XMA*,CVAVA6124XMA*,217588325,47500,15,,,No
BRYANT,CVAVA6124XMA*,CVAVA6124XMA*,CVAVA6124XMA*,217588324,47500,15,,,No
BRYANT,CVAVA6124XMA*,CVAVA6124XMA*,CVAVA6124XMA*,217588323,47500,15,,,No
BRYANT,CVAVA6121XMA*,CVAVA6121XMA*,CVAVA6121XMA*,217588299,47500,15,,,No
BRYANT,CVAVA6121XMA*,CVAVA6121XMA*,CVAVA6121XMA*,217588298,47500,15,,,No
BRYANT,CVAVA6121XMA*,CVAVA6121XMA*,CVAVA6121XMA*,217588297,47500,15,,,No
BRYANT,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588272,47000,14.5,,,No
BRYANT,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588271,47000,14.5,,,No
BRYANT,CVAVA6021XMA*,CVAVA6021XMA*,CVAVA6021XMA*,217588270,47000,14.5,,,No
BRYANT,CVAVA4924XMA*,CVAVA4924XMA*,CVAVA4924XMA*,217588248,47000,14.5,,,No
BRYANT,CVAVA4924XMA*,CVAVA4924XMA*,CVAVA4924XMA*,217588247,47000,14.5,,,No
BRYANT,CVAVA4924XMA*,CVAVA4924XMA*,CVAVA4924XMA*,217588246,47000,14.5,,,No
BRYANT,CVAVA4824XMA*,CVAVA4824XMA*,CVAVA4824XMA*,217588222,46000,14.5,,,No
BRYANT,CVAVA4824XMA*,CVAVA4824XMA*,CVAVA4824XMA*,217588221,46000,14.5,,,No
BRYANT,CVAVA4824XMA*,CVAVA4824XMA*,CVAVA4824XMA*,217588220,46000,14.5,,,No
BRYANT,CVAVA4821XMA*,CVAVA4821XMA*,CVAVA4821XMA*,217588196,45500,14.3,,,No
BRYANT,CVAVA4821XMA*,CVAVA4821XMA*,CVAVA4821XMA*,217588195,45500,14.3,,,No
BRYANT,CVAVA4821XMA*,CVAVA4821XMA*,CVAVA4821XMA*,217588194,45500,14.3,,,No
BRYANT,CVAMA6024XMA*,CVAMA6024XMA*,CVAMA6024XMA*,217588169,47000,14.5,,,No
BRYANT,CVAMA6024XMA*,CVAMA6024XMA*,CVAMA6024XMA*,217588168,47000,14.5,,,No
BRYANT,CVAMA6024XMA*,CVAMA6024XMA*,CVAMA6024XMA*,217588167,47000,14.5,,,No
BRYANT,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588143,46500,14.3,,,No
BRYANT,CVAMA6021XMA*,CVAMA6021XMA*,CVAMA6021XMA*,217588142,46500,14.3,,,No
