Brand,Outdoor Model,Coil/Air Handler,Furnace,AHRI Number,Size,SEER2,HSPF2,Finance,25C Tax Credit
CARRIER,26SCA548W**30*,CAA**6121AM*,59TN7A100C21**22,217588010,47500,14.5,,,No
CARRIER,GA5SAN542**WA*,CVAVA6124XMA*,59TN7A120C24**22,217587786,42000,16,,,No
CARRIER,26SPA642W**30*,CVAVA6124XMA*,59TN7A120C24**22,217587785,42000,16,,,No
CARRIER,26SCA542W**30*,CVAVA6124XMA*,59TN7A120C24**22,217587784,42000,16,,,No
CARRIER,GA5SAN542**WA*,CVAVA6121XMA*,59TN7A100C21**22,217587760,41000,16,,,No
CARRIER,26SPA642W**30*,CVAVA6121XMA*,59TN7A100C21**22,217587759,41000,16,,,No
CARRIER,26SCA542W**30*,CVAVA6121XMA*,59TN7A100C21**22,217587758,41000,16,,,No
CARRIER,GA5SAN542**WA*,CVAVA6024XMA*,59TN7A120C24**22,217587734,41500,15.5,,,No
CARRIER,26SPA642W**30*,CVAVA6024XMA*,59TN7A120C24**22,217587733,41500,15.5,,,No
CARRIER,26SCA542W**30*,CVAVA6024XMA*,59TN7A120C24**22,217587732,41500,15.5,,,No
CARRIER,GA5SAN542**WA*,CVAVA6021XMA*,58CU*B080C21**20,217587708,41500,16,,,No
CARRIER,26SPA642W**30*,CVAVA6021XMA*,58CU*B080C21**20,217587707,41500,16,,,No
CARRIER,26SCA542W**30*,CVAVA6021XMA*,58CU*B080C21**20,217587706,41500,16,,,No
CARRIER,GA5SAN542**WA*,CVAVA4824XMA*,59TP7A100V21**22,217587684,41000,15.5,,,No
CARRIER,26SPA642W**30*,CVAVA4824XMA*,59TP7A100V21**22,217587683,41000,15.5,,,No
CARRIER,26SCA542W**30*,CVAVA4824XMA*,59TP7A100V21**22,217587682,41000,15.5,,,No
CARRIER,GA5SAN542**WA*,CVAVA4821XMA*,59TP7A080V17**16,217587655,40000,15,,,No
CARRIER,26SPA642W**30*,CVAVA4821XMA*,59TP7A080V17**16,217587654,40000,15,,,No
CARRIER,26SCA542W**30*,CVAVA4821XMA*,59TP7A080V17**16,217587653,40000,15,,,No
CARRIER,GA5SAN542**WA*,CVAVA4224XMA*,59TP7A080V21**20,217587628,41500,15.5,,,No
CARRIER,26SPA642W**30*,CVAVA4224XMA*,59TP7A080V21**20,217587627,41500,15.5,,,No
CARRIER,26SCA542W**30*,CVAVA4224XMA*,59TP7A080V21**20,217587626,41500,15.5,,,No
CARRIER,GA5SAN542**WA*,CVAVA4224XMA*,58CU*B080C21**20,217587602,41000,16,,,No
CARRIER,26SPA642W**30*,CVAVA4224XMA*,58CU*B080C21**20,217587601,41000,16,,,No
CARRIER,26SCA542W**30*,CVAVA4224XMA*,58CU*B080C21**20,217587600,41000,16,,,No
CARRIER,GA5SAN542**WA*,CVAVA4221XMA*,59TN7A100C21**22,217587576,39500,15,,,No
